jobName(岗位名称),description(岗位描述),contact(联系方式),location(工作地点),deliveryRequest(投递要求),salary(薪资),degree(学历要求),workTime(工作制度),industryLabel(行业类型),stationLabel(岗位标签),jobType(岗位类型),headCount(招聘人数)
"测试岗位1","测试岗位描述1","13003610001","北京","网投简历即可","16K-29K","本科及以上","996",,,"1","100"
"测试岗位2","测试岗位描述2","13003610001","北京","网投简历即可","16K-29K","本科及以上","996",,,"1","100"
"测试岗位3","测试岗位描述3","13003610001","北京","网投简历即可","16K-29K","本科及以上","996",,,"1","100"
"测试岗位4","测试岗位描述4","13003610001","北京","网投简历即可","16K-29K","本科及以上","996",,,"1","100"
"测试岗位5","测试岗位描述5","13003610001","北京","网投简历即可","16K-29K","本科及以上","996",,,"1","100"
"测试岗位6","测试岗位描述6","13003610001","北京","网投简历即可","16K-29K","本科及以上","996",,,"1","100"
"测试岗位7","测试岗位描述7","13003610001","北京","网投简历即可","16K-29K","本科及以上","996",,,"1","100"
"测试岗位8","测试岗位描述8","13003610001","北京","网投简历即可","16K-29K","本科及以上","996",,,"1","100"
"测试岗位9","测试岗位描述9","13003610001","北京","网投简历即可","16K-29K","本科及以上","996",,,"1","100"
"测试岗位10","测试岗位描述10","13003610001","北京","网投简历即可","16K-29K","本科及以上","996",,,"1","100"